time,x,y,theta_rad,ps0,ps7,ps5,ps2,ps1,ps3,ps4,ps6,z_k_raw,d_k_kalman,estado
1.312,0.0405,-0.0032,-1.1512,64.77210952035684,66.51169494972697,142.49139251737984,69.66056359446348,65.53997936878604,72.6940375791872,66.17111906584984,200.44196595671195,65.64,90.5,EVADIENDO_DER
1.344,0.0405,-0.0032,-1.2107,70.29119634312704,68.57975809255444,137.32448734601715,69.93316219838199,68.80899272795173,67.34808437071285,67.28677266615678,189.0127390330549,69.44,88.84,EVADIENDO_DER
1.376,0.0405,-0.0032,-1.2701,65.15052413343444,70.8206671296129,121.01082496515143,66.78943259857357,66.65324597400127,67.94418204503765,62.09191768294429,182.2641472968884,67.99,87.21,EVADIENDO_DER
1.408,0.0405,-0.0032,-1.3295,68.34520883388896,67.05204824742592,86.3266189406579,58.75393259858488,68.66287926118123,63.2628671858288,65.32710422667913,163.9409979474837,67.7,85.67,EVADIENDO_DER
1.44,0.0405,-0.0032,-1.3889,68.63351018003742,66.73442120859,66.70782226324516,67.79922573429351,66.80157636609998,67.24734536447393,67.17563779130072,152.11015605435728,67.68,84.26,EVADIENDO_DER
1.472,0.0405,-0.0032,-1.4533,65.1365713039673,64.69402976096212,66.59063429282875,67.18921379490693,68.08960255206075,62.233255140879685,69.18939854752217,119.4633088446676,64.92,82.74,AVANZANDO_RECTO
1.504,0.0407,-0.0052,-1.4508,62.48991501690449,66.94675070478714,63.899993298387315,69.41174347983892,67.82043577354152,69.81582691180765,67.18394327187733,130.3365158899489,64.72,81.33,AVANZANDO_RECTO
1.536,0.041,-0.0071,-1.4508,65.9944812720689,70.22348529640429,86.99800719730331,64.68913699776087,60.02375650040428,70.95986332135574,69.3481485108044,128.28217393338306,68.11,80.29,AVANZANDO_RECTO
1.568,0.0412,-0.0091,-1.4533,67.60971276276068,66.00593063955688,108.26110168724469,76.02879797028511,68.88603745226729,65.343085651339,64.83474407425334,116.56045754676093,66.81,79.23,AVANZANDO_RECTO
1.6,0.0414,-0.011,-1.4533,71.37435306265381,65.07857736679142,120.52323943282565,64.84223933053164,70.46145313934758,68.31021747182376,72.37499725961365,119.5272692824818,68.23,78.36,AVANZANDO_RECTO
1.632,0.0417,-0.013,-1.4508,61.153708158092876,63.08182565680517,136.22409098680686,67.0784423420995,70.02914755758012,70.57090202204975,68.86741852420542,106.93819231388659,62.12,77.09,AVANZANDO_RECTO
1.664,0.0419,-0.0149,-1.4508,70.2062665483798,67.10887273323281,146.88791110896545,61.744751397352715,69.22178520299991,56.29603695576607,67.0221934635917,75.24642881235398,68.66,76.43,AVANZANDO_RECTO
1.696,0.0421,-0.0169,-1.4533,69.1366384977363,71.51532887478574,153.67492965454653,67.88922161852614,67.9389440568884,63.56839898980187,65.9037950116283,64.42713139699228,70.33,75.95,EVADIENDO_DER
1.728,0.0421,-0.0169,-1.5127,60.904616637598785,67.03607790637399,180.08734076996893,64.31033178505707,62.424796409431096,66.07859960281249,69.54090068579498,67.87847909753154,63.97,75.01,EVADIENDO_DER
1.76,0.0421,-0.0169,-1.5721,72.45259490509656,62.8848646310633,198.7404551313467,69.88473976332524,63.653753735054835,70.08185658575935,70.58127762649228,71.312994493237,67.67,74.43,EVADIENDO_DER
1.792,0.0421,-0.0169,-1.6315,68.73590609219423,65.57290647603891,206.68032184944062,63.95483056952913,70.75931004939794,80.23126250212363,96.37835808887995,67.71128296518671,67.15,73.86,EVADIENDO_DER
1.824,0.0421,-0.0168,-1.6934,60.29108144058894,66.63059164575631,216.1159804972035,66.92486287064956,65.24262393575329,69.60200805888928,112.44676664026451,65.73243171238693,63.46,73.05,EVADIENDO_DER
1.856,0.0421,-0.0169,-1.7553,75.4279720122619,71.96117762388212,230.1684104296945,62.2937760112908,70.94799503758614,69.02948346315296,127.28725675726628,70.56430725403968,73.69,73.1,EVADIENDO_DER
1.888,0.0421,-0.0169,-1.8147,60.268951833539525,71.33692337953762,219.42679732244662,68.20473492719489,64.94076504418291,65.52863479497157,128.18373501144598,66.01569091757855,65.8,72.52,EVADIENDO_DER
1.92,0.0421,-0.0169,-1.8742,61.885831857473555,74.6173265692092,218.68862865469185,66.73777752416605,66.83007372972597,64.99979602031999,141.42867128916066,66.4244239818531,68.25,72.19,EVADIENDO_DER
1.952,0.0421,-0.0169,-1.9336,70.76601770912937,72.23577039255221,218.28968544782424,66.7528023170123,61.350846987048335,72.9837479756856,149.6556937748525,73.21315056489235,71.5,72.14,EVADIENDO_DER
1.984,0.0421,-0.0169,-1.9979,60.78097719868294,69.71000640987208,190.01775577818086,73.22750144041524,61.83370242741243,64.86724428342217,142.99534319381564,65.11768848206705,65.25,71.6,EVADIENDO_DER
2.016,0.0421,-0.0169,-2.0574,67.37960832659486,60.85448232322236,176.2337073754175,67.359157308597,65.39611023476327,66.48914204395744,144.6804044248454,60.76912695949774,64.12,71.01,EVADIENDO_DER
2.048,0.0421,-0.0169,-2.1143,66.7032468900493,69.96420362073705,156.28548615712796,70.14534171632859,69.02788678797975,72.25377097741568,143.7924244897144,69.36731434582074,68.33,70.8,EVADIENDO_DER
2.08,0.0421,-0.0169,-2.1762,67.83762730613402,68.18043214114003,137.19900470522728,66.07947359560752,71.7715731272238,61.67448689537143,138.34177268977552,70.93231058498534,68.01,70.58,AVANZANDO_RECTO
2.112,0.041,-0.0185,-2.1787,70.5076591173661,75.63123849289813,114.38398102418164,71.64098208296406,68.9705864556402,66.69672940328348,126.06991658695098,66.52795674371947,73.07,70.77,AVANZANDO_RECTO
2.144,0.0399,-0.0201,-2.1787,66.08602105610824,66.79946687366517,108.47033904657478,69.94788411860655,65.96222757935644,69.44293349127345,114.28817431725095,68.07392591944078,66.44,70.43,AVANZANDO_RECTO
2.176,0.0388,-0.0217,-2.1787,66.72391550832374,70.0269417669678,96.22221871649894,71.9585549522836,70.43980736859605,68.49675584975803,110.79769431086928,70.63140301837716,68.38,70.27,AVANZANDO_RECTO
2.208,0.0377,-0.0233,-2.1762,63.34576561301847,74.71773851384467,65.7888138335684,62.4239318430636,67.99423429438481,69.60112812317875,102.38360563907301,63.58350940066161,69.03,70.17,AVANZANDO_RECTO
2.24,0.0365,-0.025,-2.1787,60.36291461183162,69.10410288785047,70.67747152287592,65.43397256676309,68.2777564017274,66.0893510129268,106.27085732208482,66.46898891764022,64.73,69.74,AVANZANDO_RECTO
2.272,0.0354,-0.0265,-2.1787,68.36067932833865,71.53001024521781,70.65604750530879,72.6210761159648,66.30767644654853,67.47609299340326,93.84287447086585,58.09196201290661,69.95,69.76,AVANZANDO_RECTO
2.304,0.0343,-0.0282,-2.1762,68.7264704705018,62.58123120969895,68.47427935878972,71.497103600712,73.34689495630114,67.10641267869171,80.43631949907144,61.836619737671,65.65,69.43,AVANZANDO_RECTO
2.336,0.0332,-0.0298,-2.1762,68.56132646115717,71.31185980027549,67.15525873985092,65.85947891473536,58.56004292442853,64.54100808309028,80.40172433602245,64.59486369648887,69.94,69.47,AVANZANDO_RECTO
2.368,0.032,-0.0314,-2.1787,65.26129212817548,68.4387569915544,68.13827292465997,63.22667930033483,65.91026597663539,67.35062020592301,71.24667284809901,72.63871276746922,66.85,69.26,AVANZANDO_RECTO
2.4,0.0309,-0.033,-2.1787,64.81013447868897,64.7106811975101,69.90572404329295,64.49324059321401,70.97787578526203,68.19948265118204,68.09393280674762,61.21593629563273,64.76,68.91,AVANZANDO_RECTO
2.432,0.0298,-0.0346,-2.1762,69.03915285321173,65.30879983693104,67.51551842591557,63.052290810626296,64.4380991452073,66.69385660642774,68.32682938404744,66.7802261039468,67.17,68.77,AVANZANDO_RECTO
2.464,0.0287,-0.0363,-2.1787,67.77168696535405,66.16316989963474,64.12851960613698,69.20896988821796,64.19135301044773,67.15719632653816,65.76196805202525,67.62314721203248,66.97,68.63,AVANZANDO_RECTO
2.496,0.0276,-0.0379,-2.1787,65.48249230302575,70.79079678743362,70.92113073942767,64.42477938161218,67.12887860795017,64.74247312637199,66.08652614238137,66.41659100054699,68.14,68.59,AVANZANDO_RECTO
2.528,0.0265,-0.0394,-2.1787,70.59869007395541,65.60137246063553,72.15248524898136,66.88877254225334,71.69328188041202,69.14953110318035,67.10227093121689,62.530945685643665,68.1,68.55,AVANZANDO_RECTO
